"hlf0071_h","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"A little too big","1984","Full Time","West Germany","282","0.0618922787050646","0.0556220080024914","0.0681625494076379","4"
"A little too big","1984","Full Time","East Germany","","","","","4"
"A little too big","1984","Part Time","West Germany","95","0.0608527818785566","0.0500722753073411","0.0716332884497722","4"
"A little too big","1984","Part Time","East Germany","","","","","4"
"A little too big","1984","Not Working","West Germany","293","0.0773412663063468","0.0696698679228649","0.0850126646898288","4"
"A little too big","1984","Not Working","East Germany","","","","","4"
"A little too small","1984","Full Time","East Germany","","","","","2"
"A little too small","1984","Full Time","West Germany","1024","0.159122200486207","0.149603590543091","0.168640810429322","2"
"A little too small","1984","Part Time","West Germany","350","0.154982754042183","0.138663263935026","0.17130224414934","2"
"A little too small","1984","Part Time","East Germany","","","","","2"
"A little too small","1984","Not Working","West Germany","619","0.0995288576679818","0.0909316432492149","0.108126072086749","2"
"A little too small","1984","Not Working","East Germany","","","","","2"
"Just right","1984","Full Time","East Germany","","","","","3"
"Just right","1984","Full Time","West Germany","4088","0.741782422000085","0.73039375565172","0.75317108834845","3"
"Just right","1984","Part Time","East Germany","","","","","3"
"Just right","1984","Part Time","West Germany","1360","0.747869917318218","0.728287897880346","0.767451936756089","3"
"Just right","1984","Not Working","West Germany","3533","0.78940591413346","0.777696865168447","0.801114963098472","3"
"Just right","1984","Not Working","East Germany","","","","","3"
"Much too big","1984","Full Time","West Germany","46","0.0109598119729946","0.00825055487184779","0.0136690690741414","5"
"Much too big","1984","Full Time","East Germany","","","","","5"
"Much too big","1984","Part Time","West Germany","14","","","","5"
"Much too big","1984","Not Working","West Germany","33","0.00940933335434293","0.00663681204809556","0.0121818546605903","5"
"Much too big","1984","Part Time","East Germany","","","","","5"
"Much too big","1984","Not Working","East Germany","","","","","5"
"Much too small","1984","Full Time","West Germany","233","0.026243286835649","0.0220834524048512","0.0304031212664468","1"
"Much too small","1984","Full Time","East Germany","","","","","1"
"Much too small","1984","Part Time","West Germany","70","0.0273077615527087","0.0199581753463395","0.0346573477590778","1"
"Much too small","1984","Part Time","East Germany","","","","","1"
"Much too small","1984","Not Working","West Germany","180","0.0243146285378689","0.0198914235640897","0.028737833511648","1"
"Much too small","1984","Not Working","East Germany","","","","","1"
"A little too big","1985","Full Time","West Germany","262","0.0680587168593315","0.0610456780278491","0.0750717556908139","4"
"A little too big","1985","Full Time","East Germany","","","","","4"
"A little too big","1985","Part Time","West Germany","117","0.0734628576878539","0.0615839718833743","0.0853417434923336","4"
"A little too big","1985","Part Time","East Germany","","","","","4"
"A little too big","1985","Not Working","West Germany","257","0.0737427903907821","0.0658509563158123","0.0816346244657519","4"
"A little too big","1985","Not Working","East Germany","","","","","4"
"A little too small","1985","Full Time","West Germany","810","0.140053106137982","0.130389209448004","0.14971700282796","2"
"A little too small","1985","Part Time","West Germany","306","0.148797660411769","0.132593563308135","0.165001757515404","2"
"A little too small","1985","Full Time","East Germany","","","","","2"
"A little too small","1985","Part Time","East Germany","","","","","2"
"A little too small","1985","Not Working","West Germany","531","0.0910864888883239","0.0823980725834233","0.0997749051932244","2"
"A little too small","1985","Not Working","East Germany","","","","","2"
"Just right","1985","Full Time","West Germany","3661","0.756956400897925","0.745012460798327","0.768900340997522","3"
"Just right","1985","Full Time","East Germany","","","","","3"
"Just right","1985","Part Time","West Germany","1330","0.736051856831221","0.715982941844947","0.756120771817495","3"
"Just right","1985","Part Time","East Germany","","","","","3"
"Just right","1985","Not Working","West Germany","3257","0.804460326033189","0.792484041094726","0.816436610971653","3"
"Just right","1985","Not Working","East Germany","","","","","3"
"Much too big","1985","Full Time","West Germany","31","0.00728344192702817","0.00491560901013876","0.00965127484391758","5"
"Much too big","1985","Full Time","East Germany","","","","","5"
"Much too big","1985","Part Time","West Germany","16","","","","5"
"Much too big","1985","Part Time","East Germany","","","","","5"
"Much too big","1985","Not Working","West Germany","34","0.0114304369977621","0.00822056735091349","0.0146403066446107","5"
"Much too big","1985","Not Working","East Germany","","","","","5"
"Much too small","1985","Full Time","West Germany","190","0.0276483341777336","0.0230825407754922","0.032214127579975","1"
"Much too small","1985","Full Time","East Germany","","","","","1"
"Much too small","1985","Part Time","West Germany","84","0.0319346555163347","0.0239290564555352","0.0399402545771342","1"
"Much too small","1985","Part Time","East Germany","","","","","1"
"Much too small","1985","Not Working","West Germany","134","0.0192799576899427","0.0151277609311867","0.0234321544486988","1"
"Much too small","1985","Not Working","East Germany","","","","","1"
"A little too big","1986","Full Time","West Germany","37","0.0703140126534535","0.0506888449277521","0.089939180379155","4"
"A little too big","1986","Full Time","East Germany","","","","","4"
"A little too big","1986","Part Time","West Germany","15","","","","4"
"A little too big","1986","Part Time","East Germany","","","","","4"
"A little too big","1986","Not Working","West Germany","24","","","","4"
"A little too big","1986","Not Working","East Germany","","","","","4"
"A little too small","1986","Full Time","East Germany","","","","","2"
"A little too small","1986","Full Time","West Germany","95","0.14608549777035","0.11897515303063","0.17319584251007","2"
